State,Crop,Season,Area,Rainfall,Temperature,Soil_pH,Nitrogen,Phosphorus,Potassium,Yield
Andhra Pradesh,Rice,Kharif,1200,950,28,6.7,90,40,40,4.1
Arunachal Pradesh,Maize,Kharif,800,1800,24,6.2,75,30,25,3.0
Assam,Rice,Kharif,1000,2200,26,5.8,85,35,30,3.8
Bihar,Wheat,Rabi,1300,700,21,7.1,95,45,40,4.0
Chhattisgarh,Rice,Kharif,1100,1200,27,6.5,88,38,36,4.0
Goa,Rice,Kharif,700,3000,27,6.3,80,35,30,3.6
Gujarat,Cotton,Kharif,1400,650,30,7.3,85,42,38,2.9
Haryana,Wheat,Rabi,1500,600,20,7.5,100,50,45,4.6
Himachal Pradesh,Maize,Kharif,900,1300,22,6.0,78,32,28,3.1
Jharkhand,Rice,Kharif,950,1100,26,6.4,82,36,33,3.7
Karnataka,Maize,Kharif,1000,850,27,6.3,80,35,30,3.3
Kerala,Rice,Kharif,800,3200,26,5.9,75,34,29,3.5
Madhya Pradesh,Soybean,Kharif,1400,900,28,6.8,90,40,38,3.2
Maharashtra,Cotton,Kharif,1500,750,29,6.9,85,42,40,2.8
Manipur,Rice,Kharif,700,1800,24,6.1,78,32,27,3.2
Meghalaya,Maize,Kharif,600,2200,23,5.7,70,30,25,2.9
Mizoram,Rice,Kharif,650,2000,25,6.0,76,33,28,3.1
Nagaland,Maize,Kharif,750,1700,24,6.2,74,31,26,3.0
Odisha,Rice,Kharif,1200,1400,27,6.6,88,38,35,4.2
Punjab,Wheat,Rabi,1600,550,19,7.6,105,52,48,4.8
Rajasthan,Barley,Rabi,1300,400,22,7.8,90,40,35,3.4
Sikkim,Maize,Kharif,500,2500,22,5.6,68,28,24,2.7
Tamil Nadu,Rice,Kharif,1250,1000,28,6.8,92,41,40,4.3
Telangana,Cotton,Kharif,1350,800,30,7.0,88,43,39,3.0
Tripura,Rice,Kharif,700,2100,25,6.1,80,34,30,3.4
Uttar Pradesh,Wheat,Rabi,1550,700,21,7.2,98,48,44,4.4
Uttarakhand,Rice,Kharif,850,1600,23,6.2,82,36,32,3.6
West Bengal,Rice,Kharif,1100,1700,26,6.4,87,39,36,4.0
Delhi,Wheat,Rabi,900,600,20,7.4,95,45,42,4.1
Jammu and Kashmir,Apple,Kharif,600,900,18,6.5,70,30,28,12.0
Ladakh,Barley,Kharif,400,300,15,7.9,65,25,22,2.5
